,Home_price,Monthly_supply,Permit,Total_consumption spending,Housing_inventory,30y_mortgage,Consumer_sentiment,Interest_rates,Median_sales_price,GDP
0,129.3,4.2,1806.3,421328.7,14908.0,5.8,80.0,2.2,186000.0,11174.1
1,131.8,3.8,1837.7,429308.7,15244.0,5.5,89.3,2.2,191800.0,11312.8
2,135.0,3.6,1937.3,458890.0,15614.0,6.0,89.3,2.0,191900.0,11566.7
3,138.8,4.0,1972.3,491437.3,15654.0,5.9,92.0,2.0,198800.0,11772.2
4,143.3,3.7,1994.7,506856.3,15895.0,5.6,98.0,2.0,212700.0,11923.4
5,148.2,3.9,2080.0,526483.3,16079.0,6.1,93.3,2.1,217600.0,12112.8
6,152.7,4.3,2069.7,552939.0,15656.0,5.9,95.6,2.5,213500.0,12305.3
7,157.5,4.1,2086.0,561413.3,15361.0,5.7,93.9,3.0,228800.0,12527.2
8,163.5,4.3,2105.0,590790.3,15748.0,5.8,94.1,3.5,232500.0,12767.3
9,169.3,4.3,2137.7,611957.0,16061.0,5.7,90.2,4.0,233700.0,12922.7
10,174.6,4.5,2228.3,642273.7,15883.0,5.8,87.5,4.5,236400.0,13142.6
11,179.5,4.8,2169.3,670433.0,15823.0,6.2,82.4,5.0,243600.0,13324.2
12,183.3,5.8,2157.0,680067.3,16234.0,6.2,88.9,5.6,247700.0,13599.2
13,184.0,6.3,1923.3,639389.0,16513.0,6.6,83.8,6.0,246300.0,13753.4
14,182.8,6.9,1713.3,591320.7,16769.0,6.6,84.0,6.2,235600.0,13870.2
15,183.6,6.8,1581.0,558263.7,16894.0,6.2,92.5,6.2,245400.0,14039.6
16,184.4,7.7,1606.7,539003.7,17724.0,6.2,92.2,6.2,257400.0,14215.7
17,181.6,7.8,1456.7,521924.0,17547.0,6.4,86.9,6.2,242200.0,14402.1
18,178.3,8.9,1314.3,488432.3,18049.0,6.6,85.7,5.8,241800.0,14564.1
19,175.4,9.2,1188.3,439296.0,17910.0,6.2,77.5,4.9,238400.0,14715.1
20,171.6,9.8,1025.0,400027.3,18642.0,5.9,72.9,3.2,233900.0,14706.5
21,166.7,10.6,1061.0,388045.3,18701.0,6.1,59.6,2.2,235300.0,14865.7
22,162.0,10.9,858.7,360447.7,18651.0,6.3,64.8,2.2,226500.0,14899.0
23,156.0,11.4,638.7,319480.0,18973.0,5.8,57.7,1.0,222500.0,14608.2
24,150.1,11.2,538.7,276721.3,19137.0,5.1,58.3,0.5,208400.0,14430.9
25,147.9,9.5,559.3,246953.3,18752.0,5.0,68.2,0.5,220900.0,14381.2
26,148.2,7.7,606.7,257975.0,18996.0,5.2,68.4,0.5,214300.0,14448.9
27,148.0,7.7,623.3,263932.3,19006.0,4.9,70.2,0.5,219000.0,14651.2
28,146.3,7.8,657.7,263516.3,19126.0,5.0,73.9,0.7,222900.0,14764.6
29,146.2,7.9,599.7,262938.3,19022.0,4.9,73.9,0.8,219500.0,14980.2
30,144.0,8.4,574.0,251115.3,18933.0,4.4,68.3,0.8,224100.0,15141.6
